name,city,region,holes,distance_mi,tee_name,gender,rating,slope,yardage,notes
Riviera Country Club,Pacific Palisades,LA,18,14,Gold,W,74.3,135,,
Riviera Country Club,Pacific Palisades,LA,18,14,Red,M,67.0,118,,
Riviera Country Club,Pacific Palisades,LA,18,14,Forward,W,72.1,130,,
Los Amigos Golf Course,"Downey, CA",LA,18,15,Back,M,68.7,118,6212,Par 71
Los Amigos Golf Course,"Downey, CA",LA,18,15,Back,W,74.9,126,6212,
Los Amigos Golf Course,"Downey, CA",LA,18,15,Middle,M,67.5,115,5890,
Los Amigos Golf Course,"Downey, CA",LA,18,15,Middle,W,72.9,125,5890,
Los Amigos Golf Course,"Downey, CA",LA,18,15,Front,M,66.2,110,5558,
Los Amigos Golf Course,"Downey, CA",LA,18,15,Front,W,71.1,121,5558,
Los Amigos Golf Course,"Downey, CA",LA,18,15,Orange,M,59.3,97,4050,
Los Amigos Golf Course,"Downey, CA",LA,18,15,Orange,W,63.3,105,4050,
Recreation Park Golf Course 18,"Long Beach, CA",LA,18,15,Back,M,70.2,119,6405,Par 72; women's ratings not published in sources
Skylinks at Long Beach,"Long Beach, CA",LA,18,16,Championship,M,72.7,127,6909,Par 72; women's ratings not published in sources
Bel-Air Country Club,Bel-Air,LA,18,16,Gold,M,74.3,138,6800,Par 70; back tee
Bel-Air Country Club,Bel-Air,LA,18,16,White,M,,,6180,Rating/slope not found
Bel-Air Country Club,Bel-Air,LA,18,16,Red,W,,122,5650,Forward tee; rating not found
El Dorado Park Golf Course,Long Beach,LA,18,17,Back,M,73.0,130,6876,Par 72; approximate
El Dorado Park Golf Course,Long Beach,LA,18,17,Silver,W,,129,5625,Rating not found
Mountaingate Country Club,"Los Angeles, CA",LA,18,17,North/South,M,,134,6730,27-hole facility; standard 18 combo; rating not found
Old Ranch Country Club,"Seal Beach, CA",OC,18,18,Black,M,73.4,133,6932,Par 72
Old Ranch Country Club,"Seal Beach, CA",OC,18,18,Gold,M,71.0,127,6384,
Old Ranch Country Club,"Seal Beach, CA",OC,18,18,Silver,M,69.1,123,5985,
Old Ranch Country Club,"Seal Beach, CA",OC,18,18,Silver,W,76.3,140,5985,
Old Ranch Country Club,"Seal Beach, CA",OC,18,18,Bronze,M,66.2,114,5346,
Old Ranch Country Club,"Seal Beach, CA",OC,18,18,Bronze,W,72.2,130,5346,
Navy Golf Course Seal Beach - Destroyer Course,"Cypress, CA",OC,18,18,Back,M,72.8,129,6780,Par 72; only back-tee rating found
Navy Golf Course Seal Beach - Cruiser Course,"Cypress, CA",OC,9,18,Back,M,,94,2020,9-hole par-31 executive course; file listed 18 holes
Griffith Park - Wilson Course,Los Angeles,LA,18,19,Black,M,71.4,121,6714,Par 72
Griffith Park - Wilson Course,Los Angeles,LA,18,19,Black,W,78.1,134,6714,
Griffith Park - Wilson Course,Los Angeles,LA,18,19,Blue,M,70.0,118,6423,
Griffith Park - Wilson Course,Los Angeles,LA,18,19,Blue,W,76.4,130,6423,
Griffith Park - Wilson Course,Los Angeles,LA,18,19,White,M,68.7,115,6168,
Griffith Park - Wilson Course,Los Angeles,LA,18,19,White,W,75.0,126,6168,
Griffith Park - Wilson Course,Los Angeles,LA,18,19,White/Yellow,M,67.0,111,5811,
Griffith Park - Wilson Course,Los Angeles,LA,18,19,White/Yellow,W,73.0,122,5811,
Griffith Park - Wilson Course,Los Angeles,LA,18,19,Yellow,M,63.0,101,4946,
Griffith Park - Wilson Course,Los Angeles,LA,18,19,Yellow,W,68.2,113,4946,
Griffith Park Golf Courses,Los Angeles,LA,18,19,Back,M,71.4,121,6714,Harding Course; par 72; women's ratings not published in sources
Lakeside Golf Club,Toluca Lake,LA,18,19,Back,M,71.9,127,6840,Par 70; private; women's ratings not published in sources
Montebello Golf Course,"Montebello, CA",LA,18,20,Back,M,71.6,124,6616,Par 72; also listed as Bella Verde; women's ratings not published
Whittier Narrows Golf Course,"Rosemead, CA",LA,18,21,Back,M,72.3,121,6864,27-hole facility; River/Pine 18 combo; women's ratings not published
Braemar Country Club,"Tarzana, CA",LA,18,21,Championship,M,72.4,130,,27-hole facility; yardage/women's not published
California Country Club,"Whittier, CA",LA,18,22,Back,M,72.7,128,6804,Par 72; women's ratings not published in sources
Annandale Golf Club,"Pasadena, CA",LA,18,22,Championship,M,72.6,131,6577,Par 70; women's ratings not published in sources
Annandale Golf Club,"Pasadena, CA",LA,18,22,Blue,M,71.7,127,6487,
Annandale Golf Club,"Pasadena, CA",LA,18,22,White,M,69.7,123,6170,
Los Coyotes Country Club,"Buena Park, CA",OC,18,22,Black,M,,130,7011,27-hole facility; per-tee ratings not published
Los Coyotes Country Club,"Buena Park, CA",OC,18,22,Blue,M,,,6729,
Los Coyotes Country Club,"Buena Park, CA",OC,18,22,White,M,,,6458,
Los Coyotes Country Club,"Buena Park, CA",OC,18,22,Green,M,,,6027,
Friendly Hills Country Club,"Whittier, CA",LA,18,22,Back,M,71.5,136,6399,Par 70; women's ratings not published in sources
Meadowlark Golf Course,"Huntington Beach, CA",OC,18,22,Blue,M,66.8,113,5609,Par 70
Meadowlark Golf Course,"Huntington Beach, CA",OC,18,22,Blue,W,73.0,123,5568,
Meadowlark Golf Course,"Huntington Beach, CA",OC,18,22,White,M,66.0,110,5251,
Meadowlark Golf Course,"Huntington Beach, CA",OC,18,22,White,W,71.1,121,5251,
Meadowlark Golf Course,"Huntington Beach, CA",OC,18,22,Yellow,M,61.5,99,4291,
Meadowlark Golf Course,"Huntington Beach, CA",OC,18,22,Yellow,W,65.5,112,4291,
Woodley Lakes Golf Course,Van Nuys,LA,18,22,Black,M,71.8,120,6816,Par 72
Woodley Lakes Golf Course,Van Nuys,LA,18,22,Black,W,78.2,139,6816,
Woodley Lakes Golf Course,Van Nuys,LA,18,22,Blue,M,70.5,117,6564,
Woodley Lakes Golf Course,Van Nuys,LA,18,22,Blue,W,76.7,125,6564,
Woodley Lakes Golf Course,Van Nuys,LA,18,22,White,M,69.0,114,6272,
Woodley Lakes Golf Course,Van Nuys,LA,18,22,White,W,74.8,121,6272,
Woodley Lakes Golf Course,Van Nuys,LA,18,22,Yellow,M,66.4,106,5689,
Woodley Lakes Golf Course,Van Nuys,LA,18,22,Yellow,W,71.7,115,5689,
DeBell Golf Club,"Burbank, CA",LA,18,22,Blue,M,68.8,114,5534,Par 71; short hilly course; sources inconsistent
DeBell Golf Club,"Burbank, CA",LA,18,22,Red,W,,113,4921,Rating not found
El Caballero Country Club,"Tarzana, CA",LA,18,23,Gold,M,72.1,134,6815,Par 71
El Caballero Country Club,"Tarzana, CA",LA,18,23,Gold,W,79.0,148,6815,
El Caballero Country Club,"Tarzana, CA",LA,18,23,Blue,M,70.1,129,6393,
El Caballero Country Club,"Tarzana, CA",LA,18,23,Blue,W,77.0,142,6393,
El Caballero Country Club,"Tarzana, CA",LA,18,23,White,M,67.1,120,5891,
El Caballero Country Club,"Tarzana, CA",LA,18,23,White,W,73.3,134,5891,
El Caballero Country Club,"Tarzana, CA",LA,18,23,Green,M,65.6,120,5140,Men's slope uncertain in source
El Caballero Country Club,"Tarzana, CA",LA,18,23,Green,W,70.6,130,5140,
Brookside Golf Club - Course #1,Pasadena,LA,18,23,Back,M,73.6,128,7104,C.W. Koiner course; par 72; women's not detailed
Brookside Golf Club - Course #2,Pasadena,LA,18,23,Blue,M,69.1,121,6040,E.O. Nay course; par 70
Brookside Golf Club - Course #2,Pasadena,LA,18,23,Blue,W,74.9,131,6040,
Brookside Golf Club - Course #2,Pasadena,LA,18,23,White,M,67.5,117,5727,
Brookside Golf Club - Course #2,Pasadena,LA,18,23,White,W,73.2,127,5727,
Brookside Golf Club - Course #2,Pasadena,LA,18,23,Red,M,65.5,112,5363,
Brookside Golf Club - Course #2,Pasadena,LA,18,23,Red,W,70.9,124,5363,
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,Goodman,M,74.6,138,7015,Par 71
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,Black,M,74.3,137,6928,
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,Black,W,78.8,140,6928,
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,Blue,M,72.5,134,6448,
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,Blue,W,76.2,135,6448,
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,Cecil Dees,M,71.4,131,6406,
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,Cecil Dees,W,76.0,134,6406,
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,Macdonald Smith,M,70.2,127,6137,
Oakmont Country Club (Glendale),"Glendale, CA",LA,18,23,White,M,71.0,130,5891,
Westridge Golf Club,"La Habra, CA",OC,18,24,Back,M,72.7,135,6561,Par 72
Westridge Golf Club,"La Habra, CA",OC,18,24,Blue,M,71.0,132,6342,
Westridge Golf Club,"La Habra, CA",OC,18,24,White,M,68.8,126,5860,
Westridge Golf Club,"La Habra, CA",OC,18,24,Forward,W,71.3,125,5204,
Dad Miller Golf Course,"Anaheim, CA",OC,18,24,Back,M,68.6,116,6025,Par 71; women's ratings not published in sources
La Cañada Country Club,"La Cañada Flintridge, CA",LA,18,25,Blue,M,73.7,132,5773,Par 70; back rating high vs yardage per source
La Cañada Country Club,"La Cañada Flintridge, CA",LA,18,25,White,M,67.4,122,5566,
La Cañada Country Club,"La Cañada Flintridge, CA",LA,18,25,Red,W,70.6,125,5230,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,V,M,72.4,132,6600,Par 71
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,V,W,79.5,148,6600,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,IV,M,71.1,128,6310,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,IV,W,77.7,144,6310,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,III,M,68.6,122,5850,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,III,W,74.9,139,5850,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,II,M,66.0,115,5275,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,II,W,72.0,133,5275,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,I,M,64.7,112,4985,
Hacienda Golf Club,"La Habra Heights, CA",LA,18,25,I,W,70.5,130,4985,
Calabasas Country Club,"Calabasas, CA",LA,18,25,Championship,M,70.4,125,6323,Par 72; sources vary (also 71.5/130); women's not published
Coyote Hills Golf Course,Fullerton,OC,18,26,Gold,M,72.2,135,6510,Par 70; women's ratings not published in sources
Coyote Hills Golf Course,Fullerton,OC,18,26,Black,M,69.4,128,6007,
Coyote Hills Golf Course,Fullerton,OC,18,26,Blue,M,67.6,124,5618,
Coyote Hills Golf Course,Fullerton,OC,18,26,White,M,65.3,118,5142,
Santa Anita Golf Course,"Arcadia, CA",LA,18,26,Championship,M,,121,6463,Par 71
Santa Anita Golf Course,"Arcadia, CA",LA,18,26,Blue,M,70.4,122,6412,
Santa Anita Golf Course,"Arcadia, CA",LA,18,26,White,M,,,6090,
Santa Anita Golf Course,"Arcadia, CA",LA,18,26,Red,W,,,5862,Par 74 (women)
Industry Hills - Eisenhower,City of Industry,LA,18,27,Championship,M,75.3,143,7181,Par 72
Industry Hills - Eisenhower,City of Industry,LA,18,27,Blue,M,72.3,131,6552,
Industry Hills - Eisenhower,City of Industry,LA,18,27,Blue,W,78.8,143,6552,
Industry Hills - Eisenhower,City of Industry,LA,18,27,White,M,70.1,125,6088,
Industry Hills - Eisenhower,City of Industry,LA,18,27,White,W,76.1,136,6088,
Industry Hills - Babe Zaharias,City of Industry,LA,18,27,Championship,M,,,6821,Par 71
Industry Hills - Babe Zaharias,City of Industry,LA,18,27,Blue,M,72.9,132,,
Hansen Dam Golf Course,Pacoima,LA,18,27,Back,M,71.1,118,6717,Par 72; women's ratings not published in sources
Mile Square - Classic Course,Fountain Valley,OC,18,27,Blue,M,71.5,124,6714,Par 72
Mile Square - Classic Course,Fountain Valley,OC,18,27,Blue,W,79.1,136,6714,
Mile Square - Classic Course,Fountain Valley,OC,18,27,White,M,70.0,121,,
Mile Square - Classic Course,Fountain Valley,OC,18,27,White,W,77.5,132,,
Mile Square - Classic Course,Fountain Valley,OC,18,27,Yellow,M,66.6,111,,
Mile Square - Classic Course,Fountain Valley,OC,18,27,Yellow,W,73.3,124,,
Mile Square - Classic Course,Fountain Valley,OC,18,27,Red,M,66.1,110,,
Mile Square - Classic Course,Fountain Valley,OC,18,27,Red,W,72.4,122,,
Mile Square - Player's Course,Fountain Valley,OC,18,27,Blue,M,72.2,125,6747,Par 72; women's ratings not published in sources
Mile Square - Player's Course,Fountain Valley,OC,18,27,White,M,70.5,122,6213,
Mile Square - Player's Course,Fountain Valley,OC,18,27,Yellow,M,68.7,117,5886,
Angeles National Golf Club,Sunland,LA,18,27,Nicklaus,M,,142,7088,Par 72
Angeles National Golf Club,Sunland,LA,18,27,Championship,M,74.4,140,7141,
Angeles National Golf Club,Sunland,LA,18,27,White,M,,,6209,
Angeles National Golf Club,Sunland,LA,18,27,Red,W,,111,4883,
Birch Hills Golf Course,Brea,OC,18,28,Back,M,54.2,82,3120,Executive par-59 course
Costa Mesa CC - Mesa Linda,Costa Mesa,OC,18,28,Back,M,66.0,104,5486,Par 70; women's ratings not published in sources
Costa Mesa CC - Los Lagos,Costa Mesa,OC,18,28,Blue,M,71.2,126,6567,Par 72
Costa Mesa CC - Los Lagos,Costa Mesa,OC,18,28,Blue,W,77.4,135,6567,
Costa Mesa CC - Los Lagos,Costa Mesa,OC,18,28,White,M,69.6,122,6238,
Costa Mesa CC - Los Lagos,Costa Mesa,OC,18,28,White,W,75.7,132,6238,
Costa Mesa CC - Los Lagos,Costa Mesa,OC,18,28,Silver,M,68.2,118,5925,
Costa Mesa CC - Los Lagos,Costa Mesa,OC,18,28,Silver,W,73.9,128,5925,
Mesa Verde Country Club,"Costa Mesa, CA",OC,18,29,Back,M,72.4,130,6726,Par 71; women's ratings not published in sources
Knollwood Golf Course,"Granada Hills, CA",LA,18,29,Blue,M,71.0,126,6373,Par 72
Knollwood Golf Course,"Granada Hills, CA",LA,18,29,Blue,W,77.0,136,6373,
Knollwood Golf Course,"Granada Hills, CA",LA,18,29,White,M,69.4,122,,
Knollwood Golf Course,"Granada Hills, CA",LA,18,29,White,W,75.0,131,,
Knollwood Golf Course,"Granada Hills, CA",LA,18,29,Red,M,67.7,118,,
Knollwood Golf Course,"Granada Hills, CA",LA,18,29,Red,W,73.0,127,,
Knollwood Golf Course,"Granada Hills, CA",LA,18,29,Orange,M,61.4,102,,
Knollwood Golf Course,"Granada Hills, CA",LA,18,29,Orange,W,65.2,110,,
South Hills Country Club,"West Covina, CA",LA,18,30,White,M,70.4,128,6342,Par 72
South Hills Country Club,"West Covina, CA",LA,18,30,White,W,77.7,142,6342,
South Hills Country Club,"West Covina, CA",LA,18,30,Red,M,67.5,117,5643,
South Hills Country Club,"West Covina, CA",LA,18,30,Red,W,73.7,136,5643,
Royal Vista Golf Club,"Walnut, CA",LA,18,31,Combined 18,M,69.5,123,6304,27-hole facility; per-tee ratings not published
North Ranch Country Club,"Westlake Village, CA",VC,18,32,Valley/Oaks,M,73.9,138,6753,27-hole facility; per-tee ratings not published
Santa Ana Country Club,Santa Ana,OC,18,33,Event,M,73.5,132,7024,Par 72; women's ratings not published in sources
Santa Ana Country Club,Santa Ana,OC,18,33,Back,M,71.7,128,6536,
Wood Ranch Golf Club,"Simi Valley, CA",VC,18,33,Back,M,75.2,146,6972,Par 72; women's ratings not published in sources
Big Canyon Country Club,Newport Beach,OC,18,33,Black,M,74.1,136,7061,Par 72
Big Canyon Country Club,Newport Beach,OC,18,33,Black/Blue,M,73.5,134,6821,
Big Canyon Country Club,Newport Beach,OC,18,33,Black/Blue,W,78.2,139,6821,
Big Canyon Country Club,Newport Beach,OC,18,33,Blue,M,72.9,131,6631,
Big Canyon Country Club,Newport Beach,OC,18,33,Blue,W,79.7,145,6631,Women's figure per source
Big Canyon Country Club,Newport Beach,OC,18,33,Red,M,70.5,121,5613,
Big Canyon Country Club,Newport Beach,OC,18,33,Red,W,74.1,134,5613,
Sherwood Country Club,"Thousand Oaks, CA",LA,18,33,Championship,M,75.7,146,7025,Par 72; women's ratings not published in sources
Sherwood Country Club,"Thousand Oaks, CA",LA,18,33,Blue,M,72.3,136,6594,
Sherwood Country Club,"Thousand Oaks, CA",LA,18,33,White,M,69.7,129,6003,
Diamond Bar Golf Course,"Diamond Bar, CA",LA,18,33,Back,M,72.9,132,6707,Par 72; women's ratings not published in sources
Newport Beach Country Club,Newport Beach,OC,18,34,Back,M,71.5,126,6584,Par 71; women's ratings not published in sources
Yorba Linda Country Club,Yorba Linda,OC,18,34,Back,M,73.2,130,6834,Par 71; women's ratings not published in sources
Tustin Ranch Golf Club,Tustin,OC,18,35,Black,M,73.6,133,6842,Par 72
Tustin Ranch Golf Club,Tustin,OC,18,35,Blue,M,71.8,127,6446,
Tustin Ranch Golf Club,Tustin,OC,18,35,White,M,69.9,122,6064,
Tustin Ranch Golf Club,Tustin,OC,18,35,White,W,75.7,136,6064,
Tustin Ranch Golf Club,Tustin,OC,18,35,Gold,M,66.1,113,5263,
Tustin Ranch Golf Club,Tustin,OC,18,35,Gold,W,71.4,129,5263,
Black Gold Golf Club,Yorba Linda,OC,18,35,Black,M,73.2,136,6756,Par 72
Black Gold Golf Club,Yorba Linda,OC,18,35,Black,W,80.3,150,6756,
Black Gold Golf Club,Yorba Linda,OC,18,35,Blue,M,71.5,132,,
Black Gold Golf Club,Yorba Linda,OC,18,35,Blue,W,78.2,145,,
Black Gold Golf Club,Yorba Linda,OC,18,35,Blue/White,M,70.7,130,,
Black Gold Golf Club,Yorba Linda,OC,18,35,Blue/White,W,77.3,142,,
Black Gold Golf Club,Yorba Linda,OC,18,35,White,M,69.8,127,,
Black Gold Golf Club,Yorba Linda,OC,18,35,White,W,76.1,139,,
